rxnID	new_gpr	reference
r_3961	( YER053C or YJR077C or YLR348C )	https://www.yeastgenome.org/locus/S000000855; https://www.yeastgenome.org/locus/S000004340 https://www.yeastgenome.org/locus/S000003838
r_2008	YNR013C	https://www.yeastgenome.org/locus/S000005296
r_3605	( YCR037C or YJL198W or YML123C )	https://www.yeastgenome.org/locus/S000005296; https://www.yeastgenome.org/locus/S000004592 https://www.yeastgenome.org/locus/S000003734
r_3649	YNR013C	https://www.yeastgenome.org/locus/S000005296
r_3893	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3813	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3897	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3817	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3894	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3814	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3898	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3818	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3895	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3815	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3899	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3819	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3896	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3816	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3900	YIL048W	https://www.yeastgenome.org/locus/S000001310
r_3820	( YIL048W or YMR162C )	https://www.yeastgenome.org/locus/S000001310; https://www.yeastgenome.org/locus/S000004772
r_3821	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3885	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3825	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3889	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3822	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3886	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3826	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3890	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3823	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3887	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3827	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3891	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3824	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3888	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3828	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3892	YAL026C	https://www.yeastgenome.org/locus/S000000024
r_3606	YCR098C	https://www.yeastgenome.org/locus/S000000695
r_1236	( YKL188C and YPL147W )	https://www.yeastgenome.org/locus/S000001671; https://www.yeastgenome.org/locus/S000006068
r_2107	( YIL013C or YOR011W )	https://www.yeastgenome.org/locus/S000001275; https://www.yeastgenome.org/locus/S000005537
r_1108	 ( YER056C or YER060W or YER060W-A )	https://www.yeastgenome.org/locus/S000000858; https://www.yeastgenome.org/locus/S000002958 https://www.yeastgenome.org/locus/S000000862
r_1134	( YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W  or YHR096C or YJL214W or YJL219W or YJR158W  or YNR072W or YOL156W )	https://www.yeastgenome.org/locus/S000002404
r_1135	( YFL011W or YJL219W or YLR081W or YNL318C or YOL156W )	https://www.yeastgenome.org/locus/S000001883
r_1139	( YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W  or YHR096C or YJL214W or YJL219W or YJR158W or YNR072W or YOL156W )	https://www.yeastgenome.org/locus/S000002404
r_1183	( YCL025C or YKR039W or YOR348C or YPL265W )	https://www.yeastgenome.org/locus/S000000530
r_1218	( YCL025C or YDR508C or YKR039W )	https://www.yeastgenome.org/locus/S000000530
r_1238	YKR039W	https://www.yeastgenome.org/locus/S000001747
r_1805	YBR241C	https://www.yeastgenome.org/locus/S000000445
r_1910	( YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR096C or YJL214W or YJL219W or YJR158W or YNR072W or YOL156W )	https://www.yeastgenome.org/locus/S000002404
r_2105	YDL245C	https://www.yeastgenome.org/locus/S000002404
r_4168	YBR241C	https://www.yeastgenome.org/locus/S000000445
r_4169	YBR241C	https://www.yeastgenome.org/locus/S000000445
r_4592	YOL130W	https://www.yeastgenome.org/locus/S000005490
r_3961	( YER053C or YJR077C )	https://www.yeastgenome.org/locus/S000000855; https://www.yeastgenome.org/locus/S000003838
r_1684	YGL077C	https://www.yeastgenome.org/locus/S000003045
r_1101	YDL210W	https://www.yeastgenome.org/locus/S000002369
r_1176	( YER056C or YER060W or YER060W-A )	https://www.yeastgenome.org/locus/S000000858
r_1212	( YOL092W or YBR293W or YCL069W )	https://www.yeastgenome.org/locus/S000005452; https://www.yeastgenome.org/locus/S000000497; https://www.yeastgenome.org/locus/S000000574
r_1096	( YNL065W or YKL217W or YGR260W )	https://www.yeastgenome.org/locus/S000005009; https://www.yeastgenome.org/locus/S000001700
r_1585	( YNL065W or YKL217W or YGR260W )	https://www.yeastgenome.org/locus/S000005009; https://www.yeastgenome.org/locus/S000001700
r_4698	( YNL065W or YKL217W or YGR260W )	https://www.yeastgenome.org/locus/S000005009; https://www.yeastgenome.org/locus/S000001700
r_1770	YBR041W	https://www.yeastgenome.org/locus/S000000245
r_1775	YBR041W	https://www.yeastgenome.org/locus/S000000245
r_1835	YBR041W	https://www.yeastgenome.org/locus/S000000245
r_1836	YBR041W	https://www.yeastgenome.org/locus/S000000245
r_1981	YBR041W	https://www.yeastgenome.org/locus/S000000245
r_2186	YBR041W	https://www.yeastgenome.org/locus/S000000245
r_2192	YBR041W	https://www.yeastgenome.org/locus/S000000245
